                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    142,                0.40526,                 0.2975,                0.94747,                0.98104,                0.97462,                0.98843,                0.83258,                0.66007,                0.28755,                 1.1499,              0.0010694,              0.0010694,              0.0010694
                    143,                0.39842,                0.29043,                 0.9429,                 0.9621,                0.98477,                0.99256,                0.84747,                0.64321,                0.28614,                 1.1211,              0.0010628,              0.0010628,              0.0010628
                    144,                0.39762,                0.29019,                0.94312,                0.97473,                0.96954,                0.98607,                0.83888,                0.66301,                0.30154,                 1.1438,              0.0010562,              0.0010562,              0.0010562
                    145,                0.41004,                0.29719,                0.95102,                0.98127,                0.95939,                 0.9877,                0.84771,                0.62649,                0.28681,                 1.1059,              0.0010496,              0.0010496,              0.0010496
                    146,                0.39866,                0.29184,                0.94405,                0.98548,                0.97462,                0.98814,                0.84053,                0.66437,                0.28582,                 1.1474,               0.001043,               0.001043,               0.001043
                    147,                0.40617,                0.29703,                0.94833,                0.98451,                0.96773,                0.98746,                0.83564,                0.64448,                0.29221,                 1.1413,              0.0010364,              0.0010364,              0.0010364
                    148,                0.39994,                0.29232,                0.93601,                0.99221,                0.96972,                0.99011,                0.84683,                0.64858,                0.29371,                 1.1549,              0.0010298,              0.0010298,              0.0010298
                    149,                0.39191,                0.29041,                0.94439,                0.98627,                0.96701,                 0.9877,                0.84001,                0.66396,                0.29986,                  1.166,              0.0010232,              0.0010232,              0.0010232
                    150,                0.39932,                0.28734,                0.94187,                0.97594,                 0.9797,                0.98793,                0.84462,                0.65274,                0.29195,                  1.143,              0.0010166,              0.0010166,              0.0010166
                    151,                0.40148,                 0.2989,                0.94383,                0.98207,                 0.9797,                0.98952,                0.83543,                0.65842,                0.29156,                 1.1616,                0.00101,                0.00101,                0.00101
                    152,                0.39664,                0.28915,                0.93907,                0.98448,                0.98223,                0.99056,                0.84132,                0.65879,                0.29184,                   1.17,              0.0010034,              0.0010034,              0.0010034
